平台名称,类型,优先级,提交日期,状态,审核时间,链接获得,流量来源,备注
HK88DB,本地目录,高,,,1-3天,,,优先提交
香港黄页,本地目录,高,,,3-5天,,,官方目录
Localiiz,本地目录,中,,,1周,,,生活平台
HKTDC,本地目录,高,,,2-4周,,,贸发局
Capterra,软件目录,高,,,1-2周,,,DA 92
G2,软件目录,高,,,1-2周,,,DA 90
Software Advice,软件目录,中,,,1-2周,,,Gartner
GetApp,软件目录,中,,,1周,,,
TrustRadius,软件目录,中,,,1-2周,,,
FinancesOnline,财务软件,中,,,1周,,,
FitSmallBusiness,财务软件,中,,,,,,
Product Hunt,科技目录,高,,,即时,,,需策略发布
BetaList,科技目录,低,,,1周,,,
Alternative To,软件目录,中,,,即时,,,
HKICPA,客座博客,高,,,,,,,会计师公会
TechAsia,客座博客,高,,,,,,,科技媒体
e27,客座博客,中,,,,,,,东南亚
StartupHK,客座博客,中,,,,,,,创业
SME Magazine,客座博客,中,,,,,,,中小企
SCMP,媒体PR,高,,,,,,,主流媒体
HKET,媒体PR,高,,,,,,,经济日报
TechCrunch,媒体PR,中,,,,,,,国际科技
Business Insider,媒体PR,中,,,,,,,商业新闻



